# Alte URL	Code	Neue URL
https://paulseeger.de/leistungen/akupunktur/	301	https://osteomedis.de/leistungen/akupunktur/
https://paulseeger.de/leistungen/chiropraktik/	301	https://osteomedis.de/leistungen/chiropraktik/
https://paulseeger.de/leistungen/dry-needling/	301	https://osteomedis.de/leistungen/dry-needling/
https://paulseeger.de/leistungen/elektrotherapie-ultraschall/	301	https://osteomedis.de/leistungen/elektrotherapie-ultraschall/
https://paulseeger.de/leistungen/hochenergie-induktionstherapie/	301	https://osteomedis.de/leistungen/hochenergie-induktionstherapie/
https://paulseeger.de/leistungen/kieferbehandlun-cmd/	301	https://osteomedis.de/leistungen/kieferbehandlung-cmd/
https://paulseeger.de/leistungen/kieferbehandlung-cmd/	301	https://osteomedis.de/leistungen/kieferbehandlung-cmd/
https://paulseeger.de/leistungen/myofasziale-loesetechniken/	301	https://osteomedis.de/leistungen/myofasziale-loesetechniken/
https://paulseeger.de/leistungen/osteopathie/	301	https://osteomedis.de/leistungen/osteopathie/
https://paulseeger.de/leistungen/schroepfen/	301	https://osteomedis.de/leistungen/schroepfen/
https://paulseeger.de/leistungen/stosswellentherapie/	301	https://osteomedis.de/leistungen/stosswellentherapie/
https://paulseeger.de/leistungen/triggerpunkt-therapie/	301	https://osteomedis.de/leistungen/triggerpunkt-therapie/
https://paulseeger.de/preise-und-kostenerstattung/	301	https://osteomedis.de/preise/
https://paulseeger.de/ueber-mich/	301	https://osteomedis.de/praxis/
